version,code,name,introduced,cancelled,valid_or_future_export,focus_2025_2026,role_PLA88,offline_file,edison_url,sha256
617-1810/01,617-1810,Předdiplomní praxe-seminář,2014/2015,2016/2017,0,0,,archive/versions/version_617-1810_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=617-1810%2F01&locale=cs,3b81f852c1c319c925c567c04aa35b50ec3f400aeae1c76e3c091032edd1d371
617-1815/01,617-1815,Diplomové praktikum,2014/2015,2016/2017,0,0,,archive/versions/version_617-1815_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=617-1815%2F01&locale=cs,eb177cead58888ddfbfa2bdfb77ea1deebfeb12c53cbab75696dee392b57b72d
730-0004/01,730-0004,Biochemie,2004/2005,2009/2010,0,0,,archive/versions/version_730-0004_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0004%2F01&locale=cs,e3a6cd18117d6c708b0f59deac26631c8f27c94eef49c0b9f49350060db86147
730-0005/01,730-0005,Chemie,1998/1999,2005/2006,0,0,,archive/versions/version_730-0005_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0005%2F01&locale=cs,fcdb85f805272979c011b7c4d74817af0a3572667861791a6ada04aad6499371
730-0005/03,730-0005,Chemie,1999/2000,2009/2010,0,0,,archive/versions/version_730-0005_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0005%2F03&locale=cs,dac764c8a154b7358ec9205dbb97fa2d8ab01048ff1f4bc63da1f4db163ff48f
730-0014/01,730-0014,Analytická chemie odpadních materiálů,2004/2005,2009/2010,0,0,,archive/versions/version_730-0014_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0014%2F01&locale=cs,cb88771543bc17c70e8340661e0601d0881a8bb571b1debba825eebe3765cb70
730-0015/01,730-0015,Instrumentální metody analýzy,2004/2005,2009/2010,0,0,,archive/versions/version_730-0015_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0015%2F01&locale=cs,3883f842b9d480b477ee704f6aa962c9752cecb60d15f36ae72ffd107f49399c
730-0102/01,730-0102,Úvod do laboratorních cvičení z chemie,2007/2008,2009/2010,0,0,,archive/versions/version_730-0102_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0102%2F01&locale=cs,42e077e99910d59a85d64f3241253839cc984280e9fe50ae7fb481e3ea969631
730-0106/01,730-0106,Základní výpočty v chemii,2007/2008,2009/2010,0,0,,archive/versions/version_730-0106_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0106%2F01&locale=cs,728921bd1f0cfe8dd1fdc913353289e8c35887f249eea61c69e67f25b04cd39b
730-0120/01,730-0120,Chemie III - Organická a makromolekulární chemie,2007/2008,2009/2010,0,0,,archive/versions/version_730-0120_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=730-0120%2F01&locale=cs,6f4e61cee21345dcc55dc7e947ff6f27eb0d50097f6937b8c4ddea0d2434c2bb
