kind,code,version,url,file,size,sha256,pla88
subject,730-0146,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0146&locale=cs,archive/subjects/subject_730-0146.html,49190,57ad1de5fd46ea40363d2b1cd9bfe4e0704a310298019b1283926bd9bd450b4a,False
subject,730-0153,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0153&locale=cs,archive/subjects/subject_730-0153.html,49255,ea21fd5f534641a283bdf32fb98194300f877766148e336b2c04a34f1d681635,False
subject,730-0154,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0154&locale=cs,archive/subjects/subject_730-0154.html,49261,77c8a56423e7c576fb623180f1bfbaa6d67ade1757e6506e2084aa6e258a78c3,False
subject,9350-3021,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9350-3021&locale=cs,archive/subjects/subject_9350-3021.html,52092,48d289035859cfa78d35cacdc3c0cdd49cb9e54af09f89e17fc2cd945180da74,False
subject,9360-0002,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0002&locale=cs,archive/subjects/subject_9360-0002.html,51453,bd824a6208c7cd92194ef6ff5c60bfebf984782ea6a3feda171e9235df86f558,False
subject,9360-0003,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0003&locale=cs,archive/subjects/subject_9360-0003.html,50095,d24a1146f2441ab788ebd010405b6e58f7664bf12fabc9b46ce1dae3e48f6968,False
subject,9360-0004,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0004&locale=cs,archive/subjects/subject_9360-0004.html,50148,2d6d7959e77e57d32501d2a149ecdf290aed9cb563b0b082221b3d53315e6cbf,False
subject,9360-0005,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0005&locale=cs,archive/subjects/subject_9360-0005.html,51578,af56286a29119a6c16dae1c7093515fb2a4b9a0d135c83d9e0da13ecc0cb346f,False
subject,9360-0014,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0014&locale=cs,archive/subjects/subject_9360-0014.html,51085,a5f52068c4d55679e406250eb789d10e6dba9b00b48c1bb5d3fe91c0f00c290e,False
subject,9360-0015,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0015&locale=cs,archive/subjects/subject_9360-0015.html,51405,49431479fa7e05b1fa12d1b8eff4d87f86da375299ba217aa874078d83bff029,False
subject,9360-0106,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0106&locale=cs,archive/subjects/subject_9360-0106.html,52388,b9a285ebbec24bc14b98e0d222f519c4cbf102ba9afd7479e2af3a1a3f8d97d4,False
subject,9360-0120,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0120&locale=cs,archive/subjects/subject_9360-0120.html,53260,5630388d6f2397b7d1edd3882c19588bda60265a0ee88243eaa22feac27dba41,False
subject,9360-0125,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0125&locale=cs,archive/subjects/subject_9360-0125.html,53467,0d01c96a5074cf1c1d3bc38ece14d3997d616faf285b53d858c5cfe6a4d27fe4,False
subject,9360-0131,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0131&locale=cs,archive/subjects/subject_9360-0131.html,54206,c9c41f3569c79e5dbd3db00b06ec67d8558745a9b63a5744da88f282dde86119,False
subject,9360-0132,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0132&locale=cs,archive/subjects/subject_9360-0132.html,52749,4dd66cb06b1df907740cc81dde57899d75cfe3951edba263d618e94480792ec8,False
subject,9360-0135,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0135&locale=cs,archive/subjects/subject_9360-0135.html,52366,f36ed17d20765de89ec57a18b4919f1d64aede5c11a02d0cae6a34cbf47960b2,False
subject,9360-0136,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0136&locale=cs,archive/subjects/subject_9360-0136.html,52445,9b9f036863dfa63405a1563999f3e8b492ee328a914a20c0c6e220898d67258e,False
subject,9360-0146,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0146&locale=cs,archive/subjects/subject_9360-0146.html,52883,f769c27bce25417a976988e23e9a09a5ed6f86439fdec4e864dca7923f4fe5ab,False
subject,9360-0153,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0153&locale=cs,archive/subjects/subject_9360-0153.html,53311,9ebdfacc470d661e2c105b66c4a283aaac23d0ba1964701fcb9dbf15f146c35c,False
subject,9360-0154,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0154&locale=cs,archive/subjects/subject_9360-0154.html,51950,b98745454ed0d27875646e6bdeb6728535733e90b732376e7f1406ef93c5f31f,False
subject,9360-0182,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0182&locale=cs,archive/subjects/subject_9360-0182.html,52356,1f8e7f247eb899c3e228d9478a55a917a893e95d09e3e9baadfdeb8de0953627,False
subject,9360-0191,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0191&locale=cs,archive/subjects/subject_9360-0191.html,52197,8eef7210a4155611abaf0c07f4df9fc268945cce51f677a594b611e2c679dfc0,False
subject,9360-0205,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0205&locale=cs,archive/subjects/subject_9360-0205.html,51627,09009b9b67b97ca33dd13324220007314e3b4cdf16dbc85c664b15c01cd199d1,False
subject,9360-0207,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0207&locale=cs,archive/subjects/subject_9360-0207.html,53266,73045a4ddb9571ee4eb0b37699002fa7abe4ffe6b62bc1af93445ddfc2d96662,False
subject,9360-0227,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0227&locale=cs,archive/subjects/subject_9360-0227.html,52255,31f662afc74fd1743e5e7e3a5250e0ecef40d492af21142a83b928e22c686e95,False
subject,9360-0233,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0233&locale=cs,archive/subjects/subject_9360-0233.html,51971,b2d25fe7c4e06e2a8a58424fb1d7348e8d1d7b8bde83e3d5d5062cb7f813230f,False
subject,9360-0234,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0234&locale=cs,archive/subjects/subject_9360-0234.html,52287,97deed5e0f9c92308397c310454e91b9973bdf79fd3e156178f2800502a286e3,False
subject,9360-0235,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0235&locale=cs,archive/subjects/subject_9360-0235.html,51790,2debdac7c1de50884d34a97f84af60e1336bfa93f213273db1460e7c32816938,False
subject,9360-0236,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0236&locale=cs,archive/subjects/subject_9360-0236.html,51862,6b9acce11a074fe0299570ee25d5a7cb2a851e7623f20a51a84e116c45c60420,False
subject,9360-0903,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0903&locale=cs,archive/subjects/subject_9360-0903.html,53299,462532767551010c1b887e10b36269edf1d9b5a5e28601f7dc24535431f9c167,False
version,542-0520,542-0520/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=542-0520%2F01&locale=cs,archive/versions/version_542-0520_01.html,175175,ff62950012277b14059b65c4316e0b6fd2acf44610454f2b52a568f555b1a3be,True
version,546-0320,546-0320/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F01&locale=cs,archive/versions/version_546-0320_01.html,184136,52a25f3fd7b69232dc7aa3cb5b52462843792cfe6e2a4cecb2391bd08b273938,True
version,546-0320,546-0320/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F02&locale=cs,archive/versions/version_546-0320_02.html,180799,bab715526d30894312bcc95dc2d146489e07a29782628d2e99e3a88033ba8887,True
version,546-0320,546-0320/03,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F03&locale=cs,archive/versions/version_546-0320_03.html,194658,844e18ce37e518561fe602fee210c5540fc4cafabfe95dbdafca4cd733e35070,False
version,546-0320,546-0320/04,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F04&locale=cs,archive/versions/version_546-0320_04.html,168253,9c5d7267a16428ad9f20326d90601dac045060ed93f611dcd21ceb7df4d09e05,True
version,546-0371,546-0371/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0371%2F01&locale=cs,archive/versions/version_546-0371_01.html,178988,9b5a75dfa0bc9e5effdf222ef0e6ca49ecaac2e9f291a7b031e256af7014c441,True
version,546-0371,546-0371/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0371%2F02&locale=cs,archive/versions/version_546-0371_02.html,168941,a7999725961e15981875c5e2defb6a3d1f5721a44b32da842064251de79d7333,True
version,546-0456,546-0456/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0456%2F02&locale=cs,archive/versions/version_546-0456_02.html,170488,a34dbab405234ba7533ecb21d111255f7c8969ca92d1f0061844ed270c957565,True
version,546-0462,546-0462/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0462%2F01&locale=cs,archive/versions/version_546-0462_01.html,174181,b8ef277ceae7a6b4de774db519316842ccbc9439762a893d57cc635238bb7187,True
version,546-0462,546-0462/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0462%2F02&locale=cs,archive/versions/version_546-0462_02.html,171995,66c96013ec808445394c33c80bbcf5994680c3abb5c59318c4e5efb0bdd85c37,True
version,546-0462,546-0462/03,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0462%2F03&locale=cs,archive/versions/version_546-0462_03.html,167106,b43dd503bf56d9a5a9f38fd9a42203bfd9ce5b47ab5aa3309383bb2631972dd6,True
version,615-0401,615-0401/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0401%2F01&locale=cs,archive/versions/version_615-0401_01.html,174082,201928c05f207c22939cce0c5c49fc0e016f45d52573b4a05b48b53a9bfd2948,True
version,615-0807,615-0807/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F01&locale=cs,archive/versions/version_615-0807_01.html,176227,ffeee266493c7121be843c6c6e670980c3f93f47140e5d437725d032dc89d72e,False
version,615-0807,615-0807/02,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F02&locale=cs,archive/versions/version_615-0807_02.html,173875,fb879056b30f55935974b2ecd0e8568befa0735188d70439914612e49e32900b,True
version,615-0807,615-0807/03,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F03&locale=cs,archive/versions/version_615-0807_03.html,176165,e4cd77bb99e4891dea63ce4edf96c8c9135d7fb2e317cf7694c96ba4a374e1a4,True
version,615-0807,615-0807/04,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F04&locale=cs,archive/versions/version_615-0807_04.html,178275,fe9093e2738af74ca92d983e5d1bd85e6e0770df98c6d531e8d5c8f63952a805,True
version,615-0807,615-0807/05,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F05&locale=cs,archive/versions/version_615-0807_05.html,172618,e03ee0089260de763e84245a0cf6106a441af2e5c3a62e5815504f77152b7648,True
version,615-0810,615-0810/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0810%2F01&locale=cs,archive/versions/version_615-0810_01.html,180338,d66c958728d09ce134c2da0ab8c28e07c5c09196167de2ec843fb9f054bced1d,True
version,615-0815,615-0815/01,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0815%2F01&locale=cs,archive/versions/version_615-0815_01.html,177922,20f1ed0e1b3ae42eb65311fc84f9af888eb36a723ac7ca587a7a98211b1ebfe2,True
